title,rating
The Dark Knight ,9.0
Sholay ,8.2
Haider ,8.2
The General ,8.2
Hera Pheri ,8.2
Waar ,8.2
Paan Singh Tomar ,8.2
La légende de Baahubali: 1ère partie ,8.2
Gangs of Wasseypur ,8.2
Die Hard ,8.2
V for Vendetta ,8.2
Deadpool 2 ,8.2
Ran ,8.2
Yojimbo ,8.3
Indiana Jones and the Last Crusade ,8.3
Sherlock Jr. ,8.3
Deadpool ,8.0
Tae Guk Gi: The Brotherhood of War ,8.1
Dunkirk ,8.0
Baby ,8.1
Elite Squad: The Enemy Within ,8.1
Bajrangi Bhaijaan ,8.1
How to Train Your Dragon ,8.1
Akira ,8.1
Memories of Murder ,8.1
Elite Squad ,8.1
Rush ,8.1
The Avengers ,8.1
Guardians of the Galaxy ,8.1
Mad Max: Fury Road ,8.1
Logan ,8.1
The Breath ,8.2
Kill Bill: Vol. 1 ,8.1
1 - Nenokkadine ,8.4
Star Wars: Episode VI - Return of the Jedi ,8.3
Batman Begins ,8.3
Old Boy ,8.4
Vishwaroopam ,8.4
Baahubali 2: La conclusion ,8.4
The Dark Knight Rises ,8.4
Aliens ,8.4
Dangal ,8.5
Raiders of the Lost Ark ,8.5
The Matrix ,8.7
Star Wars: Episode IV - A New Hope ,8.6
Terminator 2 ,8.5
Star Wars: Episode V - The Empire Strikes Back ,8.8
Avengers: Infinity War ,8.8
Gladiator ,8.5
Inception ,8.8
